Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание,,,,,,,,,,,,,,,,,,,,,,
Б0000129;Канал пластиковый DN 100 Н 120  11012;Водосточная система;Аквасток;;370,50;362,"70;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0002595;Канал пластиковый DN 100 Н 150  11018;Водосточная система;Аквасток;;454,10;444,"54;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0001596;Канал пластиковый DN 200 H 280  12028;Водосточная система;Аквасток;;912,00;892,"80;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0003552;Канал пластиковый в сборе с оцинкованной решеткой  1091 черный;Водосточная система;Аквасток;;583,30;571,"02;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0000376;Канал пластиковый серый в сборе с оцинкованной решеткой  1091с;Водосточная система;Аквасток;;646,00;632,"40;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0001421;Канал усиленный в сборе  DN150  H185  1151;Водосточная система;Аквасток;;3486,50;3413,"10;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0003039;Люк пластиковый легкий малый А15 черный  5641;Водосточная система;Аквасток;;1140,00;1116,"00;2;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0026196;Решетка дождеприемника пластиковая 300*300;Водосточная система;Аквасток;;209,00;204,"60;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0000100;Решетка чугунная усиленная DN 100 D400 31017D;Водосточная система;Аквасток;;427,50;418,"50;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
Б0001137;Решетка чугунная щелевая DN 200  32013С;Водосточная система;Аквасток;;864,50;846,"30;2;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,,
