Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание,,,,,,,,,,,,,,,,,,,,,,
Б0001208;Мастика резино-битумная BITUMAST  2л;Лаки,Краски;Мастики;;258,40;252,"96;0.01;;;""шт"";;0;Предназначена для приклеивания рулонных кровельных и гидроизоляционных материалов",устройства и ремонта кровли. t экслуатации от -40 до +100 градусов. Расход мастики 1 кг/кв.м,,,,,,,,,,,,,,,,,,
Б0001372;Мастика резино-битумная BITUMAST 21,5кг;Лаки,Краски;Мастики;;1938,95;1898,"13;0.01;;;""шт"";;0;Гидроизоляция строительных конструкций",антикоррозионная защита металлических и бетонных поверхностей,находящихся в условиях повышенной влажности или в присутствии агрессивных сред,ремонт кровельного полотна,а также устройство звукопоглощающего и вибродемпфирующего покрытия тонкостенных конструкционных поверхностей,подвижного состава,кузова автомобиля,вентиляционных шахт,воздуховодов и т.д. Расход мастики 0,5-2 кг/м.кв,,,,,,,,,
Б0000319;Ацетон  0.5л  ЯСХИМ;Лаки,Краски;Растворители;;52,25;51,"15;0.01;;;""шт"";sd_00283;0;Ацетон технический ГОСТ. Растворитель для лакокрасочных материалов. Применяется для разбавления нитроэмалей  нитролаков",в промышленности и в бытовых целях,а также для очистки и обезжиривания поверхностей.,,,,,,,,,,,,,,,,,
Б0002403;Ацетон  10л  ЯСХИМ;Лаки,Краски;Растворители;;684,00;669,"60;1;;;""шт"";sd_00283;0;Ацетон технический ГОСТ. Растворитель для лакокрасочных материалов. Применяется для разбавления нитроэмалей  нитролаков",в промышленности и в бытовых целях,а также для очистки и обезжиривания поверхностей.,,,,,,,,,,,,,,,,,
Б0002309;Керосин   0,5л  ЯСХИМ;Лаки,Краски;Растворители;;38,00;37,"20;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001726;Растворитель 646   0,5л  Н.Новгород;Лаки,Краски;Растворители;;42,75;41,"85;12;;;""шт"";;0;Предназначен для разбавления нитролаков",нитрокрасок и нитроэмалей. Добавляется к лакокрасочному материалу небольшими порциями при перемешивании до получения нужной консистенции.,,,,,,,,,,,,,,,,,
Б0000321;Растворитель 647    0,5л  Н.Новгород;Лаки,Краски;Растворители;;43,70;42,"78;15;;;""шт"";sd_00218;0;Растворитель марки 647 для лакокрасочных материалов предназначен для разбавления нитроэмалей",нитролаков для легковых автомобилей. Представляет собой смесь летучих органических жидкостей-ароматических углеводородов,кетонов,спиртов и сложных эфиров. Огнеопасен и токсичен.,,,,,,,,,,,,,,,
Б0001321;Растворитель Р-4  0,5л  (Н.Новгород);Лаки,Краски;Растворители;;66,50;65,"10;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0000318;Уайт-спирит  0,5л \ЯСХИМ\;Лаки,Краски;Растворители;;36,10;35,"34;7;;;""шт"";;0;Растворитель для лакокрасочных материалов. Применяется для разбавления масляных",битумных,алкидных,пентафталевых лаков,красок и эмалей,а так же для обезжиривания поверхностей перед окраской.,,,,,,,,,,,,,
Б0000320;Уайт-спирит  5 л  ЯСХИМ;Лаки,Краски;Растворители;;261,25;255,"75;2;;;""шт"";;0;Растворитель для лакокрасочных материалов. Применяется для разбавления масляных",битумных,алкидных,пентафталевых лаков,красок и эмалей,а так же для обезжиривания поверхностей перед окраской.,,,,,,,,,,,,,,
Б0000930;Уайт-спирит 10л  ЯСХИМ;Лаки,Краски;Растворители;;503,50;492,"90;2;;;""шт"";;0;Растворитель для лакокрасочных материалов. Применяется для разбавления масляных",битумных,алкидных,пентафталевых лаков,красок и эмалей,а так же для обезжиривания поверхностей перед окраской.,,,,,,,,,,,,,,
Б0002484;Уничтожитель ржавчины В-52 (0,55 кг);Лаки,Краски;Растворители;;137,75;134,"85;5;;;""шт"";;0;Гель за 15 минут уничтожает ржавчину или окисел с поверхностей черных и цветных металлов",фаянса,кафеля,текстиля,дерева и пластика. Расход 1000г состава на 8 кв.м. обрабатываемой поверхности,,,,,,,,,,,,,,
Б0000857;Шпатлевка латексная SHEETROCK 28кг (17л);Лаки,Краски;Шпатлевки;;1206,50;1181,"10;0.01;;;""шт"";4679;0;Готовая шпатлевка для финишного выравнивания",заделки швов и трещин. Применяется для выравнивания стен,потолков,бетонных,оштукатуренных поверхностей,стеклохолсту,гипсовых плит. Рекоменд. наносить миним. толщиной,максим. толщина до 2 мм. Расход 1л/кв.м при толщине слоя 1 мм. Финишная отделка по ГКЛ миним. слоем- около 130 гр/кв.м.,,,,,,,,,,,,
Б0001615;Шпатлевка латексная SHEETROCK 5,4кг (3,5л);Лаки,Краски;Шпатлевки;;365,75;358,"10;0.01;;;""шт"";4679;0;Готовая шпатлевка для финишного выравнивания",заделки швов и трещин. Применяется для выравнивания стен,потолков,бетонных,оштукатуренных поверхностей,стеклохолсту,гипсовых плит. Рекоменд. наносить миним. толщиной,максим. толщина до 2 мм. Расход 1л/кв.м при толщине слоя 1 мм. Финишная отделка по ГКЛ миним. слоем- около 130 гр/кв.м.,,,,,,,,,,
Б0000834;Шпатлевка масляно-клеевая 16кг \Текс\;Лаки,Краски;Шпатлевки;;446,50;437,"10;2;;;""шт"";;0;Используется для выравнивания стен и потолков",деревянных,бетонных и оштукатуренных поверхностей под окраску водно-дисперсионными,масляными красками и эмалями. Применяется для работ внутри сухих помещений. Расход: 1 кг на 1,3-4 кв.м в зависимости от поверхности,толщина слоя - до 1мм.,,,,,,,,,,,,,,
Б0026160;Эмаль НЦ-132 белая 1,7кг \ Хамелеон\;Лаки,Краски;Эмаль НЦ;;275,50;269,"70;5;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0002350;Эмаль НЦ-132 голубая 1,7кг \Белколор\;Лаки,Краски;Эмаль НЦ;;213,75;209,"25;1;;;""шт"";;0;Для окраски деревянных",загрунтованных металлических и других поверхностей,подвергающихся атмосферным воздействиям,и для окраски внутри помещений. Образует гладкое глянцевое покрытие. Устойчива к воздействию воды,моющих средств,индустриального масла. Надёжно защищает поверхность от атмосферных воздействий. Устойчива к изменению температур. Износоустойчивая,долговечная. Быстросохнущая  (при нормальных условиях - 3 часа). Экономичная (расход 30-120 г/м2 на один слой).,,,,,,,,,,,,
Б0026161;Эмаль НЦ-132 желтая 1,7кг \Хамелеон\;Лаки,Краски;Эмаль НЦ;;278,35;272,"49;6;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0000742;Эмаль НЦ-132 зелёная 1,7кг \Хамелеон\;Лаки,Краски;Эмаль НЦ;;275,50;269,"70;4;;;""шт"";sd_00234;0;Предназначена для окраски деревянных",загрунтованных металлических и других поверхностей,подвергающихся атмосферным воздействиям,и для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 30-120 г/кв.м,,,,,,,,,,,,,,,
Б0000746;Эмаль НЦ-132 красная  1,7кг \Белколор\;Лаки,Краски;Эмаль НЦ;;232,75;227,"85;3;;;""шт"";;0;Для окраски деревянных",загрунтованных металлических и других поверхностей,подвергающихся атмосферным воздействиям,и для окраски внутри помещений. Образует гладкое глянцевое покрытие. Устойчива к воздействию воды,моющих средств,индустриального масла. Надёжно защищает поверхность от атмосферных воздействий. Устойчива к изменению температур. Износоустойчивая,долговечная. Быстросохнущая  (при нормальных условиях - 3 часа). Экономичная (расход 30-120 г/м2 на один слой).,,,,,,,,,,,,
ДХ1513;Эмаль НЦ-132 серая 1,7 кг \ Хамелеон\;Лаки,Краски;Эмаль НЦ;;271,70;265,"98;7;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001960;Эмаль НЦ-132 синяя  1,7кг  Хамелеон;Лаки,Краски;Эмаль НЦ;;275,50;269,"70;7;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0002129;Эмаль НЦ-132 чёрная 1,7 кг  Хамелеон;Лаки,Краски;Эмаль НЦ;;271,70;265,"98;3;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0002163;ПФ-115 голубая  0,9кг \КАЗАЧКА\;Лаки,Краски;Эмаль ПФ;;91,20;89,"28;17;;;""шт"";;0;Предназначена для окраски металлических",деревянных,бетонных,оштукатуренных и др. пов-стей,подвергающимся атмосферным воздействиям,а также для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 100-180 г/кв.м,,,,,,,,,,,,,
Б0000701;ПФ-115 голубая  1,9кг \Казачка\;Лаки,Краски;Эмаль ПФ;;176,70;172,"98;6;;;""шт"";;0;Для окраски металлических",деревянных и других поверхностей,подвергающихся атмосферным воздействиям,и для окраски внутри помещений. Образует гладкое,глянцевое покрытие. Возможна влажная уборка с применением моющих средств. Обладает защитными и декоративными свойствами. Надёжно защищает поверхность от атмосферных воздействий. Устойчива к изменению температуры. Готовая к применению. Расход 100-180 г/м2 на один слой. Время высыхания до отлипа 10 часов,полное - 24 часа. Долговечная.,,,,,,,,,,,,,
Б0002351;ПФ-115 голубая  2,5кг   Хамелеон;Лаки,Краски;Эмаль ПФ;;232,75;227,"85;1;;;""шт"";;0;Для окраски металлических",деревянных и других поверхностей,подвергающихся атмосферным воздействиям,и для окраски внутри помещений. Образует гладкое,глянцевое покрытие. Возможна влажная уборка с применением моющих средств. Обладает защитными и декоративными свойствами. Надёжно защищает поверхность от атмосферных воздействий. Устойчива к изменению температуры. Готовая к применению. Расход 100-180 г/м2 на один слой. Время высыхания до отлипа 10 часов,полное - 24 часа. Долговечная.,,,,,,,,,,,,,
Б0001273;ПФ-115 голубая 1,9кг  \ПРЕСТИЖ\;Лаки,Краски;Эмаль ПФ;;237,50;232,"50;3;;;""шт"";;0;Предназначена для окраски металлических",деревянных,бетонных,оштукатуренных и др. пов-стей,подвергающимся атмосферным воздействиям,а также для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 100-180 г/кв.м,,,,,,,,,,,,,
Б0000683;ПФ-115 желтая  2,5кг \Хамелеон\;Лаки,Краски;Эмаль ПФ;;247,00;241,"80;5;;;""шт"";;0;Предназначена для окраски металлических",деревянных,бетонных,оштукатуренных и др. пов-стей,подвергающимся атмосферным воздействиям,а также для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 100-180 г/кв.м,,,,,,,,,,,,,
Б0000680;ПФ-115 зеленая  1,9кг \КАЗАЧКА\;Лаки,Краски;Эмаль ПФ;;228,00;223,"20;1;;;""шт"";;0;Для окраски металлических",деревянных и других поверхностей,подвергающихся атмосферным воздействиям,и для окраски внутри помещений. Образует гладкое,глянцевое покрытие. Возможна влажная уборка с применением моющих средств. Обладает защитными и декоративными свойствами. Надёжно защищает поверхность от атмосферных воздействий. Устойчива к изменению температуры. Готовая к применению. Расход 100-180 г/м2 на один слой. Время высыхания до отлипа 10 часов,полное - 24 часа. Долговечная.,,,,,,,,,,,,,
Б0002870;ПФ-115 зеленая  2,5кг  \Хамелеон\;Лаки,Краски;Эмаль ПФ;;251,75;246,"45;3;;;""шт"";;0;Для окраски металлических",деревянных и других поверхностей,подвергающихся атмосферным воздействиям,и для окраски внутри помещений. Образует гладкое,глянцевое покрытие. Возможна влажная уборка с применением моющих средств. Обладает защитными и декоративными свойствами. Надёжно защищает поверхность от атмосферных воздействий. Устойчива к изменению температуры. Готовая к применению. Расход 100-180 г/м2 на один слой. Время высыхания до отлипа 10 часов,полное - 24 часа. Долговечная.,,,,,,,,,,,,,
Б0001180;ПФ-115 красная  1.9 кг \Казачка\;Лаки,Краски;Эмаль ПФ;;228,00;223,"20;4;;;""шт"";;0;Предназначена для окраски металлических",деревянных,бетонных,оштукатуренных и др. пов-стей,подвергающимся атмосферным воздействиям,а также для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 100-180 г/кв.м,,,,,,,,,,,,,,
Б0000755;ПФ-115 салатовый  0,8 кг \Хамелеон\;Лаки,Краски;Эмаль ПФ;;80,75;79,"05;3;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001275;ПФ-115 серая  1,9кг  \Казачка\;Лаки,Краски;Эмаль ПФ;;204,25;199,"95;1;;;""шт"";;0;Предназначена для окраски металлических",деревянных,бетонных,оштукатуренных и др. пов-стей,подвергающимся атмосферным воздействиям,а также для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 100-180 г/кв.м,,,,,,,,,,,,,
Б0002872;ПФ-115 серая 1,8кг Хамелеон;Лаки,Краски;Эмаль ПФ;;199,50;195,"30;9;;;""шт"";;0;Предназначена для окраски металлических",деревянных,бетонных,оштукатуренных и др. пов-стей,подвергающимся атмосферным воздействиям,а также для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 100-180 г/кв.м,,,,,,,,,,,,,
Б0002455;ПФ-115 синяя   2,5кг  Хамелеон;Лаки,Краски;Эмаль ПФ;;248,90;243,"66;6;;;""шт"";;0;Предназначена для окраски металлических",деревянных,бетонных,оштукатуренных и др. пов-стей,подвергающимся атмосферным воздействиям,а также для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 100-180 г/кв.м,,,,,,,,,,,,,
Б0002452;ПФ-115 черная   1,8кг  \Хамелеон\;Лаки,Краски;Эмаль ПФ;;199,50;195,"30;5;;;""шт"";;0;Предназначена для окраски металлических",деревянных,бетонных,оштукатуренных и др. пов-стей,подвергающимся атмосферным воздействиям,а также для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 100-180 г/кв.м,,,,,,,,,,,,,
Б0000712;ПФ-115 черная  1,9 кг \Казачка\;Лаки,Краски;Эмаль ПФ;;190,00;186,"00;1;;;""шт"";;0;Предназначена для окраски металлических",деревянных,бетонных,оштукатуренных и др. пов-стей,подвергающимся атмосферным воздействиям,а также для окраски внутри помещений. Расход: на однослойное покрытие в зависимости от цвета 100-180 г/кв.м,,,,,,,,,,,,,
Б0000833;ПФ-266 желто-коричневая  2,7кг    Хамелеон;Лаки,Краски;Эмаль ПФ;;256,50;251,"10;4;;;""шт"";;0;Для покрытия окрашенных и неокрашенных деревянных полов по предварительно подготовленной поверхности. Обладает повышенной стойкостью к истиранию. Стойкая к воздействию бытовых моющих средств. Быстро сохнет (каждый слой - 24 часа). Готовая к применению. Экономичная (130-160 г/м2 - при двуслойном нанесении).",,,,,,,,,,,,,,,,,,
Б0003368;ПФ-266 красно-коричневая  2,5 кг \Хамелеон\;Лаки,Краски;Эмаль ПФ;;271,70;265,"98;3;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
ДХ1571;Гетерогенный линолеум  ACCZENT PRO Cmini-100012  3м,4м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1572;Гетерогенный линолеум  ACCZENT PRO GREEN 400 3м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1562;Гетерогенный линолеум ACCZENT MINERAL AS CMIAI-100007  3м;Напольные покрытия;Гетерогенное покрытие;;651,70;637,"98;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1563;Гетерогенный линолеум ACCZENT MINERAL AS CMIAI-100010 3м;Напольные покрытия;Гетерогенное покрытие;;651,70;637,"98;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1564;Гетерогенный линолеум ACCZENT MINERAL AS CMIAI-100011  3 м;Напольные покрытия;Гетерогенное покрытие;;651,70;637,"98;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1561;Гетерогенный линолеум ACCZENT MINERAL AS CMIAII-100003 3м,4м;Напольные покрытия;Гетерогенное покрытие;;651,70;637,"98;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1565;Гетерогенный линолеум ACCZENT PRO BLUE 201  3 м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1566;Гетерогенный линолеум ACCZENT PRO Cmini-100002  3м,4м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1567;Гетерогенный линолеум ACCZENT PRO Cmini-100003  2м;Напольные покрытия;Гетерогенное покрытие;;573,80;561,"72;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1654;Гетерогенный линолеум ACCZENT PRO Cmini-100003  3м,4м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1568;Гетерогенный линолеум ACCZENT PRO Cmini-100007  2м;Напольные покрытия;Гетерогенное покрытие;;573,80;561,"72;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1655;Гетерогенный линолеум ACCZENT PRO Cmini-100007  3м,4м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1569;Гетерогенный линолеум ACCZENT PRO Cmini-100010  2м;Напольные покрытия;Гетерогенное покрытие;;573,80;561,"72;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1656;Гетерогенный линолеум ACCZENT PRO Cmini-100010  3м,4м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1570;Гетерогенный линолеум ACCZENT PRO Cmini-100011  2,5м,3м,3,5м,4м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,
ДХ1657;Гетерогенный линолеум ACCZENT PRO Cmini-100011  2м;Напольные покрытия;Гетерогенное покрытие;;573,80;561,"72;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1658;Гетерогенный линолеум ACCZENT PRO Cmini-100012  2м;Напольные покрытия;Гетерогенное покрытие;;573,80;561,"72;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1573;Гетерогенный линолеум ACCZENT PRO MONTREAL 2 3м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1659;Гетерогенный линолеум ACCZENT PRO OAK 1  2м;Напольные покрытия;Гетерогенное покрытие;;573,80;561,"72;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1574;Гетерогенный линолеум ACCZENT PRO OAK 1   3м,4м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1575;Гетерогенный линолеум ACCZENT PRO RED  3м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1576;Гетерогенный линолеум ACCZENT PRO TOBAGO 1 3м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1660;Гетерогенный линолеум ACCZENT PRO TOBAGO 2  2м;Напольные покрытия;Гетерогенное покрытие;;573,80;561,"72;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1577;Гетерогенный линолеум ACCZENT PRO TOBAGO 2  3м,4м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1578;Гетерогенный линолеум ACCZENT PRO TRINIDAD 2  3м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1579;Гетерогенный линолеум ACCZENT PRO YELLOW 3м;Напольные покрытия;Гетерогенное покрытие;;602,30;589,"62;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1584;Гетерогенный линолеум EXTRA AKRON 6  3 м,3,5м;Напольные покрытия;Гетерогенное покрытие;;593,75;581,"25;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,
ДХ1585;Гетерогенный линолеум EXTRA AKRON 7  3 м,3,5м;Напольные покрытия;Гетерогенное покрытие;;593,75;581,"25;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,
ДХ1586;Гетерогенный линолеум EXTRA AKRON 8  3 м,3,5м;Напольные покрытия;Гетерогенное покрытие;;593,75;581,"25;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,
ДХ1587;Гетерогенный линолеум EXTRA LIMA 1  3м;Напольные покрытия;Гетерогенное покрытие;;593,75;581,"25;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1588;Гетерогенный линолеум EXTRA VIVID 12 3м;Напольные покрытия;Гетерогенное покрытие;;593,75;581,"25;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1580;Гетерогенный линолеум TRAVERTINE BEIGE 01 3м,4м;Напольные покрытия;Гетерогенное покрытие;;522,50;511,"50;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1581;Гетерогенный линолеум TRAVERTINE BLUE 01 3м;Напольные покрытия;Гетерогенное покрытие;;522,50;511,"50;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,,
ДХ1582;Гетерогенный линолеум TRAVERTINE GREY 02 3м,4м;Напольные покрытия;Гетерогенное покрытие;;522,50;511,"50;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1583;Гетерогенный линолеум TRAVERTINE TERRACOTTA 01 3м,4м;Напольные покрытия;Гетерогенное покрытие;;522,50;511,"50;0.01;;;""м2"";;0;",,,,,,,,,,,,,,,,,,,
ДХ1781;Гомогенный линолеум iQ ARIA CARII-652-200 2 м;Напольные покрытия;Гомогенное покрытие;;798,00;781,"20;0.01;;;""м2"";ARIACARII-652;0;",,,,,,,,,,,,,,,,,,,,
ДХ1782;Гомогенный линолеум iQ ARIA CARII-653-200 2 м;Напольные покрытия;Гомогенное покрытие;;798,00;781,"20;0.01;;;""м2"";ARIACARII-653;0;",,,,,,,,,,,,,,,,,,,,
ДХ1783;Гомогенный линолеум iQ ARIA CARII-654-200 2 м;Напольные покрытия;Гомогенное покрытие;;798,00;781,"20;0.01;;;""м2"";ARIACARII-654;0;",,,,,,,,,,,,,,,,,,,,
ДХ1784;Гомогенный линолеум iQ ARIA CARII-657-200 2 м;Напольные покрытия;Гомогенное покрытие;;798,00;781,"20;0.01;;;""м2"";ARIACARII-657;0;",,,,,,,,,,,,,,,,,,,,
ДХ1785;Гомогенный линолеум iQ ARIA CARII-660-200 2 м;Напольные покрытия;Гомогенное покрытие;;798,00;781,"20;0.01;;;""м2"";ARIACARII-660;0;",,,,,,,,,,,,,,,,,,,,
ДХ1786;Гомогенный линолеум iQ ARIA CARII-662-200 2 м;Напольные покрытия;Гомогенное покрытие;;798,00;781,"20;0.01;;;""м2"";ARIACARII-662;0;",,,,,,,,,,,,,,,,,,,,
ДХ1787;Гомогенный линолеум iQ ARIA CARII-663-200 2 м;Напольные покрытия;Гомогенное покрытие;;798,00;781,"20;0.01;;;""м2"";ARIACARII-663;0;",,,,,,,,,,,,,,,,,,,,
ДХ1788;Гомогенный линолеум iQ ARIA CARII-665-200 2 м;Напольные покрытия;Гомогенное покрытие;;798,00;781,"20;0.01;;;""м2"";ARIACARII-665;0;",,,,,,,,,,,,,,,,,,,,
ДХ1789;Гомогенный линолеум iQ MELODIA CMELI-2603-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2603;0;",,,,,,,,,,,,,,,,,,,,
ДХ1790;Гомогенный линолеум iQ MELODIA CMELI-2604-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2604;0;",,,,,,,,,,,,,,,,,,,,
ДХ1791;Гомогенный линолеум iQ MELODIA CMELI-2613-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2613;0;",,,,,,,,,,,,,,,,,,,,
ДХ1792;Гомогенный линолеум iQ MELODIA CMELI-2617-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2617;0;",,,,,,,,,,,,,,,,,,,,
ДХ1793;Гомогенный линолеум iQ MELODIA CMELI-2618-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2618;0;",,,,,,,,,,,,,,,,,,,,
ДХ1794;Гомогенный линолеум iQ MELODIA CMELI-2633-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2633;0;",,,,,,,,,,,,,,,,,,,,
ДХ1795;Гомогенный линолеум iQ MELODIA CMELI-2634-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2634;0;",,,,,,,,,,,,,,,,,,,,
ДХ1796;Гомогенный линолеум iQ MELODIA CMELI-2635-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2635;0;",,,,,,,,,,,,,,,,,,,,
ДХ1797;Гомогенный линолеум iQ MELODIA CMELI-2639-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2639;0;",,,,,,,,,,,,,,,,,,,,
ДХ1798;Гомогенный линолеум iQ MELODIA CMELI-2641-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2641;0;",,,,,,,,,,,,,,,,,,,,
ДХ1799;Гомогенный линолеум iQ MELODIA CMELI-2643-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2643;0;",,,,,,,,,,,,,,,,,,,,
ДХ1800;Гомогенный линолеум iQ MELODIA CMELI-2645-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2645;0;",,,,,,,,,,,,,,,,,,,,
ДХ1801;Гомогенный линолеум iQ MELODIA CMELI-2647-200 2 м;Напольные покрытия;Гомогенное покрытие;;804,65;787,"71;0.01;;;""м2"";MELODIACMELI-2647;0;",,,,,,,,,,,,,,,,,,,,
ДХ1802;Гомогенный линолеум iQ MONOLIT CMONI-912-200 2 м;Напольные покрытия;Гомогенное покрытие;;1029,80;1008,"12;0.01;;;""м2"";MONOLITCMONI-912;0;",,,,,,,,,,,,,,,,,,,,
ДХ1803;Гомогенный линолеум iQ MONOLIT CMONI-913-200 2 м;Напольные покрытия;Гомогенное покрытие;;1029,80;1008,"12;0.01;;;""м2"";MONOLITCMONI-913;0;",,,,,,,,,,,,,,,,,,,,
ДХ1804;Гомогенный линолеум iQ MONOLIT CMONI-916-200 2 м;Напольные покрытия;Гомогенное покрытие;;1029,80;1008,"12;0.01;;;""м2"";MONOLITCMONI-916;0;",,,,,,,,,,,,,,,,,,,,
ДХ1805;Гомогенный линолеум iQ MONOLIT CMONI-918-200 2 м;Напольные покрытия;Гомогенное покрытие;;1029,80;1008,"12;0.01;;;""м2"";MONOLITCMONI-918;0;",,,,,,,,,,,,,,,,,,,,
ДХ1806;Гомогенный линолеум iQ MONOLIT CMONI-919-200 2 м;Напольные покрытия;Гомогенное покрытие;;1029,80;1008,"12;0.01;;;""м2"";MONOLITCMONI-919;0;",,,,,,,,,,,,,,,,,,,,
ДХ1807;Гомогенный линолеум iQ MONOLIT CMONI-924-200 2 м;Напольные покрытия;Гомогенное покрытие;;1029,80;1008,"12;0.01;;;""м2"";MONOLITCMONI-924;0;",,,,,,,,,,,,,,,,,,,,
